2016/01/01 18:23:32 Process Name : RAVBg64#3, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 5108.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4988, Type : Windows
2016/01/01 18:23:32 Process Name : RtkAudioService64, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 1368.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 632, Type : Windows
2016/01/01 18:23:32 Process Name : RtkNGUI64, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 4420.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1712, Type : Windows
2016/01/01 18:23:32 Process Name : SearchIndexer, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 36512.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4112, Type : Windows
2016/01/01 18:23:32 Process Name : WUDFHost, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 4028.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2924, Type : Windows
2016/01/01 18:23:32 Process Name : atiesrxx, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 800.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 872, Type : Windows
2016/01/01 18:23:32 Process Name : chrome, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 1.3459584378371356, RAM usage : 127636.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 920, Type : Windows
2016/01/01 18:23:32 Process Name : chrome#10, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 77860.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 856, Type : Windows
2016/01/01 18:23:32 Process Name : chrome#11, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 7.296149096398201, RAM usage : 218188.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 5932, Type : Windows
2016/01/01 18:23:32 Process Name : chrome#2, MAC ID : FC:F8:AE:A8:C5:AA, CPU usage : 0.0, RAM usage : 81068.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4516, Type : Windows
